content,rating
（1）常州机场往返不送机不接机也就不说什么了。        （2）到了厦门送酒店，那也叫酒店吗？隔音差到不能再差，住了三晚平均只能每晚睡四小时。隔壁说话，电视声听的清清楚楚。出去玩出酒店回酒店要步行十五分钟穿过四五个弄堂才到。住三日三天给打扫。提供早餐，那个早餐是一个鸡蛋一个馒头用塑料袋包好的，另外一盒不知名不敢喝的果汁。谁要是报了这个团就等着山沟里的待遇吧。             （3）第二日跟团，导游所谓的接是让我步行了二十五分钟的路去找他。然后再接了另外五六组客人，才到景点。      （4）厦门送机要自己拖着行李步行十五分钟走到他说的地方，上了他的车，绕了大半个岛接另外的客人，绕来绕去，本来十五分钟车程就可到机场，结果80分钟后才到机场。（5）建议想去厦门的游客自由行。吃和玩，出租车都很便宜。如果想住**安排的这种民宿，也很便宜。当初决定跟团是因为方便不用作攻略。有人带着很方便。其实不是。,差评
我拿什么去爱你～同程！<br>本来不打算写评价了，但是为了其他朋友能更好的出行，还是写点。<br>和她去过重多地方，这次是我最无语的一次旅游，性价比极差，我决定移情别恋～不再爱你同程。<br>因为五一要在单位值班，所以决定五一前出行。<br>因为时间紧张和客服沟通后，推荐厦门之行，满怀期待，失望而终。<br>1:宾馆环境及噪音，落地到宾馆已经是凌晨1点左右，想好好休息一下，到楼下地铁工地24小时施工，累和并无法休息让人反感难耐！宾馆环境不再吐槽，你懂的。<br>2:第二天去鼓浪屿，是大拼团而且每个人去玩的地点也不尽相同，走马观花不说，到最后我们预约的贝壳馆也基本上如同虚设，鼓浪屿贝壳馆到码头奔跑赶轮渡是让我最为气氛，说好的时间却让我们提前1个小时到码头，在贝壳馆从进去到出来15分钟。然后一路奔跑20分钟到码头全身湿透，但团队已经上团。现在再让我说说在鼓浪屿都看了什么？我也想问问？<br>3:第三天，全部去的景点几乎都是免费的不说，就是太赶，真不知道坐在办公室里的亲咋设计出来的路线，你们是否体验过？？<br>我们出行一次有多不容易吗？<br>钱道不说，时间要提前挤出来，对于你们来说多一个客户少一个都无所谓，但对与我们来说也许这辈子只去这一次,差评
收费高（3239元一个人）21号早上七点到从北京飞到厦门都中午12点多了，下午，我们自己打车去逛厦大，第二天导游带着去云水谣土楼，讲解太简单，网上都有导游词，去时路上把大家带到购物站点名曰休息上厕所，实际让大家购物，第三天去的时鼓浪屿，导游只带大家去了毓园，别的景点都没讲解，让大家自由逛，只给两个小时，集合后带大家去新四海购物。然后就早早带大家出岛了，第四天更是简单第一站是南普陀寺（门票免费）第二站厦门大学自由活动，第三站曾厝安（小吃街）让大家自己去逛三点集合就各自回酒店了，第五天让大家早早坐飞机回家了，这次旅行简直是掉坑里了，太不划算了，有能力的朋友建议自助游，当然有钱人，也不拦着您,差评
这次是我相信同程以来最不太满意的一次，这次订购是我帮父母定的，可能联系的电话都是我，所以，从提前一天开始，我收到了所有有关接机航班，住宿的信息，也有导游提前打了我的电话，我也告知了直接联系我父母，并且把父母的电话留给了**。<br>第二天接机应该还算顺利，父母没给我电话，早早的住宿房间拍给了我，因为那天我也出发去日本了，所以后面的所有联系，我都在日本，起初，差不多晚上七点半的时候，导游打电话过来，跟我说，明天带我去景点。。。我已经很早就跟**沟通过，直接找我父母，可还是联系我，深夜凌晨2点半，我接到酒店电话，跟我说，您什么时候入住？？？？什么鬼？？我父母早早入住，还问我什么时候入住。。。还不能查到我父母的信息，我真醉了，<br>第三天一早的行程，让我父母走20分到另一家酒店等，这也就算了。。。尽然在另外一家酒店，整整等了一个小时。。我父母直接发火了。。还跟我说，酒店安排的酒店，楼下就是ktv ，隔音差，整整吵到凌晨4点。。第三天才换了一个酒店。<br><br>我这次真的觉得，国内的**能不能用点心，去了那么多次国外，根本没有这种问题。需要反省一下,差评
第一次用同程，被坑的很无语！付款之前客服是一个人如果去到厦门没有人拼房就要补866的单房差，有人拼房就不需要了，结果去到厦门，同一个团的一个姐妹儿也是自己一个人住一间房，也等着拼房，和客服联系以后，客服打电话说给拼房，第一天晚上住过了。就不退第一天的，退剩下两天房差，和酒店讲拼房，酒店说让导游来说，找导游导游说得联系同程这边，找同程客服客服说联系公司，结果天天踢皮球一样各自推卸不给拼房，关键，我们两个人都是一个人住报着一样的团，交的单房差都不一样，那个姐妹儿700块单房差，我的就要866，而且房间没有人家的好，是在犄角旮旯里，海景房看到的是别人家的玻璃，神坑！巨巨巨无语，这么坑好麽？多花的8百多住那样的酒店，以后再也不会用同程！下单的各位请下单前仔细问清楚，聊天截图一定要留着，避免去了以后**无对证😂😂😂,差评
这次出行最大的印象是食宿安排特别差劲，第一天明明安排的棉花糖客栈，结果被棉花糖客栈的老板甩到了海邻居客栈，晚上空调暖风一晚上没啥作用；鼓浪屿的客栈早餐是自己充方便面，出去这么多次旅游这是头一遭，后两天回到了棉花糖，结果早餐出行上说有的，客栈老板从来不说是几点也不提醒，最后一天送机司机通知十一点半在客栈收拾好等着，客栈老板不到十一点就打电话催退房。还说有客人要入住，明显赶人的口气，住了那么多酒店最早也是十二点退房。这次也算长见识了。总之，差劲至极，实名投诉旅游顾问佩茹，我们定的团很早，后来我们发现同样的团期时间更好的航班价格更低，就跟佩茹联系，询问能否有一些补偿，佩茹不但不耐烦。后来**联系直接不回，致我们体验特别差，希望同程严肃处理，给我一个交代！！！企业的品牌这样做下去，只有灭亡，望同程反思.！！！,差评
导游倒是还可以，住的宾馆实在是太差了，走进去全是黄泥地，三天的早餐二天没有，我不知道这样的宾馆是怎么做生意的，你们联系的人拿了多少好处费，联系了客服说会打电话处理，结果连个电话都没有，,差评
鼓浪屿因为台风没有去成、然而一天的行程、加上在鼓浪屿一夜的住宿，退费一人175、打电话 客服，竟然要我们自己看机票的价钱、加上路费、还有酒店原本的费用，我们说好多的都是免费赠送了、然后竟然又说了一堆理由、当初如果我们不是图省事、便宜、又怎么会在网上报名呢？出了事，又让我们自己去看，真差劲、报名的时候什么都行，退费的时候就怎么都不行了…,差评
还是自己定比较划算，不然这个套餐真的很坑，坐的最廉价的春秋航空，出去旅行得带衣服吧，行李托运另给了两百块，住宿五星酒店真的是不过如此，不如自己预定三四星级的酒店，真的差不多，去鼓浪屿住的酒店房间小到怀疑人生，返程的机票是最晚的，这样从上海回苏州你还的麻烦**给你定接送车，90一个人，所以从头到尾各种被坑，原以为比自己定划算，其实真的差不多，自己定最起码东方航空行李不需要给钱托运，所以真的真的不建议大家定自由行！！！！,差评
航班取消我没收到消息。你们客服电话关机。真的不想多说什么了。,差评
以后还是自己订比较妥,差评
住的太差，离景点比较远，不方便，打车超级坑,差评
客服服务超级差，出了问题一直推！,差评
这次旅行就第三晚的住宿让我无语，首先是你们没有把行程安排发我邮箱，只是以短信方式发了链接给我，短信里的链接我一般是不点开看的，其次就是第三晚在鼓浪屿的住宿，整个鼓浪屿是步行的，大晚上的拖着行李在岛上走过来走过去的，真心累，找到了帮我预定的酒店(其实是民宿)，店家已经没房间了，又把我们带到另一家去，又是拖着行李步行了20分钟这样，到了那家民宿入住到房间一看**眼了，我定的大床房变成了标间，而且还是破旧的房间，空调开了一晚上也没热起来，定行程的时候是提供早餐的，可第三晚的民宿不提供早餐，总之这次旅行让我糟心啊。上图第三个晚上的民宿,差评
写太长，直接附图！！！图1-4点评。5-6同程酒店明细。7泛太平洋酒店房间。8四季如春房间。9四季如春酒店餐厅早餐（人太多了，只拍了2张比较空的）及鼓浪屿 内厝澳码头。10厦门海鲜,差评
航班取消退款到现在还没拿到，反复问了客户都是什么也没回答出来！！,差评
非常不喜欢的一次旅行！除了住宿条件没有任何可取之处！定了个4600的团，我也真是**叉了。真心觉得花个1000块抱团都嫌多....鼓浪屿完全没有小资气息，完全考验脚力而已。厦大就是给你回想下大学时光而已。胡里山炮台就更一般了。海的话....就是江而已。看海还是去海南、普吉那些吧！那才是海...住的超远！公交到中山路1小时，打的30自己想想吧！总之：这款产品性价比非常低！你要是真心想去厦门就定个极便宜的，去去也就算了！反正我是后悔**了！,差评
有点远这个酒店。在东渡附近。酒店也就一般。到了酒店连住宿当天在大堂等了一个多小时。到达酒店，酒店告知我并没有我的住宿信息，真是无语。同程的企业文化是什么，是快乐每一天？旅游的第一天就心情很低落。希望能有所改善。,差评
这次旅行绝对毕生难忘，首先同程所谓的管家实在是太烂了，由于是第一次带宝宝坐飞机，填写儿童票资料时没写身份证号，票都出了告诉我没有身份证号不能登记，好吧，我自己付了退票费，重新订票，期间所谓的管家就打了一个电话，其他的事项都是我自己在处理，机票费收的很快，退票的钱等了半个月都没到账，打电话一问说是忘记了，真是呵呵。。。。。其次，同程这么大的公司管理实在太混乱，还是要先说管家的问题，经过退换票之后给我发的出行合同竟然没有任何改动，跟管家联系了n次才修改好，期间的曲折全都是泪啊。订的酒店本来是自带接送机服务的，打电话预约时被告知由于我是通过某某**订的，所以不享受这个服务，我了个去，同程什么时候改名字。<br>不过厦门真的很美，京闽酒店也不错，位于老城区，附近有一家沙茶面比中山路的好吃多了。,差评
签订5月26号～29厦门4日9人自由行，26、27住厦门白鹭洲宝龙伯尔曼酒店2晚，28晚住鼓浪屿四季如春酒店。当天常州飞厦门的飞机已经晚点了，到酒店已21:00左右，酒店总台告知查无9人入住信息没有我们的订单，我再打电话到同程反应情况，经过1小时左右酒店答应给我们办理入住。27号早上同程又电话通知我晚上没有客房让我们收拾行李换酒店，真是开玩笑？我们答应换同时对方也答应给我们补偿28号安排司机车子从酒店送我们去鼓浪屿码头，我们定的是28号下午3:50分的船票，司机27号晚和28号早上都和我联系好了3:10在酒店等我们上车，28号那天我们3点在酒店门口等了10分打司机电话问到哪了，司机说快了，后来是一个个电话催促司机，司机回答堵在路口拐个弯就到了，30分时我们都发火了司机居然叫我们自己打车去码头，又是开玩笑，34分时司机的车到酒店门口一路开去路上堵的一塌糊涂车子不动，终于到码头时间是3:53司机还说来的急的我们拉着行李箱连滚带爬到检票处也没用了，当天幸好还有4点多的vip船票50元一人，这才我们去了岛上。我在去码头的路上就开始打电话投诉了，投诉赔偿也讲了，可是到现在31号同程旅游还是一次一次问我是什么事，赔偿之事就这样搁浅了。酒店入住订单没下，临时还让客人换酒店，答应好的车子送码头给予补偿又是跑单，请问同程旅游信誉度何在？诚信度何在？服务度又何在？你们就是以忽悠加欺骗客人来做旅游的吗？,差评
带着爸妈和孩子一起出行，当天航班因为交通管制，晚了半小时。机场到酒店也不是很远，这点比较便利。不过当初定的一个标间与一个大床，最后告知只有大床。如果要标间，要补差价。。。感觉有点坑！跟同程客服联系过，最后也没得到回复。住了3个晚上都还是大床大床。。。房间布局较狭窄，宽敞的一间没有沙发，这点老人不太满意。欢迎水果也是一个房间有摆放，另一个房间什么都没有。入住的第三天午后14点左右，客房部打扫卫生的大姐突然擅自开门，当时我们刚回来一会，然后她进来说检查小冰箱我们有没有吃东西，真的呵呵了。。。我们是3号才退房啊。。,差评
**的鼓浪屿别墅酒店，停电到半夜不知道安排客人转店，一直忽悠客人说半个小时就送电，等到客人全部火起来 才开始安排客人转店，弄到好都已经12点了，你们考虑考虑过老人和小孩吗？<br>同程也是很滚蛋的，处理突发事件说半个小时回复，结果一个小时才回复，而且回复的还是酒店的托词～“马上就要来电了”，你们就这样服务的？你们心里有想过客户吗？你们做了这么多年服务行业，就是这样对待客户的？对待突发事件就是这样把缩小的客户放在一边的？,差评
开始的行程都挺好的，谁知回程航班取消了，同程只发了个消息过来，也没有专人打电话通知，万一消息没看到呢？！航班取消了，同程说订不到其他的票，只能退款，这个太不能接受了，就是因为再订机票赚不到钱了，就把顾客丢在外地不管了，这种服务实在是太差了。,差评
订个同程一波三折，心累！最后还是没有去成，因为台风原因，最后自己买飞机票订酒店去了，也订了一天泛太平洋酒店，说实话这个酒店真的不太像五星级的，有点老旧，我第一天住的朗豪酒店很棒，万达旁边，超多吃的，现代化五星级酒店,差评
真的是非常气愤，同程的管家真是形同虚设，短信说让我加**，我加了之后有问题咨询就不见回复，终于过了两天才给我回信息，还有四季如春酒店请问这个洗澡间洗个澡后里面就成池塘了，还能说什么，体验很差，很失望,差评
接机让我们在机场等了一个半小时，还带我们绕路，然后我买的四晚喜来登一开始只给我们订了三晚，服务人员说回电话回了三天也没给回,差评
同程的服务责任心太low了，出行单接机电话居然能留错，下飞机一个多小时没人接，自己打车去的酒店！而且出行前打电话问接机电话的事，就会说自己看出行单！要是告诉一声也不至于这样吧！,差评
飞机晚点，来回航班全部延误。酒店虽然说是五星级的，但是根本配不上五星级的标准，床只有1.5米宽，早饭难吃。而且没有排风扇，特别闷。又正好遇到台风，没怎么出去玩，所以很不开心。,差评
差差差，8点起飞的飞机，竟然要延误到10:58才起飞，天气很好，航空公司没任何表示，🔥,差评
有点失望，太坑了！还是下次自己跟家人去，自由行也太坑了，2天没睡好觉,差评
代订住宿房间不能为客户着想，全订的大床房，换标准间一天加400元，三天多出了1200元。,差评
