good_pro,0.931760862088731
第一天,-2.665329115915039,-2.184288865976006
，,-10.389333772591105,-7.7752758464868625
去,-10.389333772591105,-7.7752758464868625
了,-10.389333772591105,-7.7752758464868625
土楼,-3.6266042656592257,-3.555768141310756
路上,-4.223915918359685,-3.7148328359404434
车程,-5.096028947866612,-4.73075340876344
比较,-10.389333772591105,-7.7752758464868625
长,-4.649540860411871,-4.309539943687136
我,-10.389333772591105,-7.7752758464868625
自己,-10.389333772591105,-7.7752758464868625
带,-2.019944775943262,-2.0195336328999507
个,-10.389333772591105,-7.7752758464868625
小,-10.389333772591105,-7.7752758464868625
枕头,-6.9235978697913785,-5.829365697431549
让,-10.389333772591105,-7.7752758464868625
脖子,-7.991438499792734,-7.082128665926917
舒服,-3.0767802744885073,-3.418567019797271
点,-2.6111222980786124,-1.7022313123864579
还有,-10.389333772591105,-7.7752758464868625
建议,-2.738213596888405,-2.4522658673484545
大家,-10.389333772591105,-7.7752758464868625
穿,-4.9957062262387435,-4.5564000216186615
合脚,-9.003039411471214,-7.7752758464868625
的,-10.389333772591105,-7.7752758464868625
运动鞋,-7.824384415129568,-6.676663557818753
因为,-10.389333772591105,-7.7752758464868625
路,-3.817051229897097,-3.7148328359404434
高低不平,-9.290721483922995,-7.7752758464868625
坑坑洼洼,-8.309892230911268,-6.676663557818753
容易,-10.389333772591105,-7.7752758464868625
脚疼,-9.003039411471214,-7.7752758464868625
一定,-10.389333772591105,-7.7752758464868625
要,-10.389333772591105,-7.7752758464868625
上,-10.389333772591105,-7.7752758464868625
鞋子,-6.8339857111016915,-7.082128665926917
这点,-10.389333772591105,-7.7752758464868625
很,-10.389333772591105,-7.7752758464868625
重要,-10.389333772591105,-7.7752758464868625
。,-10.389333772591105,-7.7752758464868625
鼓浪屿,-1.7235481771250405,-1.5311089458231266
虽然,-10.389333772591105,-7.7752758464868625
不会,-10.389333772591105,-7.7752758464868625
像,-10.389333772591105,-7.7752758464868625
那样,-10.389333772591105,-7.7752758464868625
但是,-10.389333772591105,-7.7752758464868625
上坡,-7.681283571488895,-7.082128665926917
下坡,-7.750276442975847,-7.7752758464868625
很多,-2.027391866446159,-2.303005172815388
走,-2.6365689637397764,-2.1658040513019032
辛苦,-4.125935509999481,-4.779543572932872
所以,-10.389333772591105,-7.7752758464868625
不,-10.389333772591105,-7.7752758464868625
需要,-10.389333772591105,-7.7752758464868625
东西,-3.114854213817234,-3.083927964257719
不要,-10.389333772591105,-7.7752758464868625
