content,rating
景区蛮大的，主线任务是去烧香拜佛哈哈哈，全场都比较舒服快乐，与大自然亲密接触，参观百年古刹。,好评
买完票直接刷码入园很方便，景区也很大，树木花草很多很凉爽。我们直接坐的公交专线就到景区了，中间无停靠，很不错，就是有点堵车,好评
第一次来灵隐寺，寺庙很大，真心还不错,好评
来杭州必打卡之地很喜欢这里而且许愿很灵因为是寺庙不建议室内拍照只拍了一些风景最有名的就是十八籽可以随缘带一份回去！,好评
方便快捷，直接扫码入景区,好评
不错的登山体验…………,好评
很方便、还有优惠券，直接去景区扫码，方便快捷,好评
购票方便，用老人的身份证买了三张优惠票，刷老人身份证一个人就可以带两个孩子。,好评
真的很方便，快到飞来峰景区下单，直接使用。方便快捷！,好评
我的评价小作文来咯，体验完马上就来评价了，超级推荐大家来噢,好评
俗人靠悟，找心静，找心境,好评
一路走走看看，不错的景点。交通也便利，景点卖的东西也不贵，值得再去,好评
体验非常好，价格公道，下次还会再来的.^◡^.,好评
到达景区前就能定好票，操作起来十分简单易学，到了直接显示二维码即可进入。,好评
购票方便来杭州必打卡项目香火旺,好评
不错，不错，一直想去灵隐寺和永福寺，体验下来棒极了,好评
人很多，门票45，入寺加三十，下山观光车10元，天气很热，不建议带太小孩子入园。,好评
去的时候下雨了，没有爬山,好评
线上购票方便快捷，刷身份证即可入园，节假日人山人海寺院香火鼎盛,好评
游人实在太多了。大概需要预留4小时以上才能把包括灵隐寺的三个寺庙都逛完下，飞来峰上的佛像也是挺值得一看的，脚力好的可以山上山下都多看看,好评
俗人靠悟，找心静，找心境,好评
一路走走看看，不错的景点。交通也便利，景点卖的东西也不贵，值得再去,好评
体验非常好，价格公道，下次还会再来的.^◡^.,好评
到达景区前就能定好票，操作起来十分简单易学，到了直接显示二维码即可进入。,好评
购票方便来杭州必打卡项目香火旺,好评
不错，不错，一直想去灵隐寺和永福寺，体验下来棒极了,好评
人很多，门票45，入寺加三十，下山观光车10元，天气很热，不建议带太小孩子入园。,好评
去的时候下雨了，没有爬山,好评
线上购票方便快捷，刷身份证即可入园，节假日人山人海寺院香火鼎盛,好评
游人实在太多了。大概需要预留4小时以上才能把包括灵隐寺的三个寺庙都逛完下，飞来峰上的佛像也是挺值得一看的，脚力好的可以山上山下都多看看,好评
超过60岁以上网上直接订购老人票，操作简单方便。,好评
果然不虚此行，虽然人比较多，但架不住美呀，全程惊喜连连,好评
不错，电子票直接入园，很方便,好评
环境非常美，就是人多,好评
手机上购票非常简便，不用排队，节省时间,好评
出票快退票也快、很愉快,好评
方便，不用排队，随定随用,好评
做索道上去，然后走下来。排队一小时。,好评
房间整洁，服务态度好，五星好评哦！,好评
值得一游，增长见识，开拓视野,好评
使用很方便，扫一下就行,好评
