good_pro,0.9319041614123581
第一天,-2.6575568329179764,-2.255720784017828
，,-10.389487554866463,-7.773173680482536
去,-10.389487554866463,-7.773173680482536
了,-10.389487554866463,-7.773173680482536
土楼,-3.6789644454140347,-3.58351893845611
路上,-4.243158297197565,-3.8611506750543896
车程,-5.091170188318427,-5.0651234793803255
比较,-10.389487554866463,-7.773173680482536
长,-4.652915257387271,-4.276666119016055
我,-10.389487554866463,-7.773173680482536
自己,-10.389487554866463,-7.773173680482536
带,-2.028714282721527,-2.03983240358479
个,-10.389487554866463,-7.773173680482536
小,-10.389487554866463,-7.773173680482536
枕头,-6.834139493377049,-5.8272635314272225
让,-10.389487554866463,-7.773173680482536
脖子,-7.824538197404927,-7.080026499922591
舒服,-3.0518998113278673,-3.4827142393341446
点,-2.6037666583318386,-1.7817091333745534
还有,-10.389487554866463,-7.773173680482536
建议,-2.745046793309897,-2.4404548872171663
大家,-10.389487554866463,-7.773173680482536
穿,-4.96453753738506,-4.68213122712422
合脚,-9.290875266198354,-7.773173680482536
的,-10.389487554866463,-7.773173680482536
运动鞋,-7.750430225251204,-6.674561391814426
因为,-10.389487554866463,-7.773173680482536
路,-3.8074624159736365,-3.662299816309224
高低不平,-9.696340374306518,-7.773173680482536
坑坑洼洼,-8.192262977530243,-6.674561391814426
容易,-10.389487554866463,-7.773173680482536
脚疼,-9.696340374306518,-7.773173680482536
一定,-10.389487554866463,-7.773173680482536
要,-10.389487554866463,-7.773173680482536
上,-10.389487554866463,-7.773173680482536
鞋子,-6.778569642222238,-7.773173680482536
这点,-10.389487554866463,-7.773173680482536
很,-10.389487554866463,-7.773173680482536
重要,-10.389487554866463,-7.773173680482536
。,-10.389487554866463,-7.773173680482536
鼓浪屿,-1.7273285932000397,-1.5407256639320128
虽然,-10.389487554866463,-7.773173680482536
不会,-10.389487554866463,-7.773173680482536
像,-10.389487554866463,-7.773173680482536
那样,-10.389487554866463,-7.773173680482536
但是,-10.389487554866463,-7.773173680482536
上坡,-7.681437353764253,-7.080026499922591
下坡,-7.991592282068092,-7.773173680482536
很多,-2.007656001380902,-2.3264363088162257
走,-2.62987340416956,-2.182186699971679
辛苦,-4.13951231260698,-4.59511985013459
所以,-10.389487554866463,-7.773173680482536
不,-10.389487554866463,-7.773173680482536
需要,-10.389487554866463,-7.773173680482536
东西,-3.105352748671258,-3.119213330325012
不要,-10.389487554866463,-7.773173680482536
轻松,-3.6095656473942106,-4.882801922586371
岛,-4.017875707634606,-3.784189633918261
龙头,-5.561173817564161,-5.288267030694535
美食,-3.8615296372439123,-4.554297855614335
卫生,-3.450233608824955,-3.3188263842290278
选择,-1.9942360342554681,-2.3093418754569255
干净,-2.37283967780866,-2.7964399380619613
店,-4.213620284760702,-4.011973564788973
海鲜,-2.5539083081964975,-2.749293159636259
也,-10.389487554866463,-7.773173680482536
多,-10.389487554866463,-7.773173680482536
价格,-3.0709480062985617,-2.7233176732329984
不贵,-5.372207718051539,-5.8272635314272225
喜欢,-2.5670428253771447,-3.416464853792944
吃海鲜,-4.1531179646627585,-4.777441406928545
有,-10.389487554866463,-7.773173680482536
口福,-7.681437353764253,-7.773173680482536
厦大,-3.1845950446617897,-3.646039295437444
开放,-5.116487996302716,-4.882801922586371
时间,-1.6473923591211526,-1.2278240201481159
规定,-10.389487554866463,-7.773173680482536
不过,-10.389487554866463,-7.773173680482536
我们,-10.389487554866463,-7.773173680482536
导游,-0.7307503073986035,-0.747635365844015
林珊珊,-7.556274210810247,-7.773173680482536
安排,-1.247318962993614,-1.1151626346117873
合理,-10.389487554866463,-7.773173680482536
在,-10.389487554866463,-7.773173680482536
前,-3.5738475647921315,-3.2623141739656853
先,-4.702512198526643,-4.035504062199167
南普陀,-3.5793451047513263,-3.923026078772477
参观,-4.627436172086286,-4.440969170307332
讲解,-2.312350916328009,-2.789567058774199
详细,-3.5837650014494775,-4.405877850496061
听,-4.195082163761791,-3.881353382371909
津津有味,-7.750430225251204,-7.080026499922591
然后,-10.389487554866463,-7.773173680482536
自由,-1.9633137618373941,-1.9181017582801083
活动,-3.7734223697336455,-3.366454433218282
芙蓉,-4.605662372536726,-5.47058858748849
隧道,-4.832659493166925,-5.575949103146316
里面,-10.389487554866463,-7.773173680482536
好玩,-3.6118409612313465,-4.084294226368599
画,-6.582825065096143,-6.674561391814426
很长,-5.98276830760221,-5.375278407684165
没有,-10.389487554866463,-7.773173680482536
完,-4.031645288358363,-3.403725828015514
还,-10.389487554866463,-7.773173680482536
曾,-10.389487554866463,-7.773173680482536
厝,-3.097831345692002,-3.366454433218282
安,-4.6823772901175875,-5.375278407684165
好多,-3.666857760011015,-3.4965075614664802
厦门,-1.3465013125624483,-1.37125648375535
衣服,-4.791065595868088,-4.882801922586371
就,-10.389487554866463,-7.773173680482536
一件,-6.169979849690356,-5.0651234793803255
打底,-9.003193193746572,-7.773173680482536
衫,-9.290875266198354,-7.773173680482536
卫衣,-9.290875266198354,-7.773173680482536
就够,-6.751901395140077,-6.674561391814426
一条,-4.852153287847926,-4.477336814478207
单裤,-9.696340374306518,-7.773173680482536
早晚,-5.995038400194024,-5.981414211254481
还是,-10.389487554866463,-7.773173680482536
有点,-10.389487554866463,-7.773173680482536
凉,-6.007460920192581,-5.575949103146316
增加,-5.935140258612956,-4.7286512427591125
等,-10.389487554866463,-7.773173680482536
太阳,-4.540162774919604,-4.440969170307332
一,-10.389487554866463,-7.773173680482536
出来,-10.389487554866463,-7.773173680482536
热,-3.483734278554999,-3.6142905971228636
大,-10.389487554866463,-7.773173680482536
防晒霜,-5.4768326691304114,-5.8272635314272225
是,-10.389487554866463,-7.773173680482536
可以,-10.389487554866463,-7.773173680482536
提前,-2.805731254159351,-2.515678308454754
做,-3.2698519168488267,-2.952892114877499
一下,-10.389487554866463,-7.773173680482536
攻略,-4.557605077582946,-4.440969170307332
这样,-10.389487554866463,-7.773173680482536
利用,-6.834139493377049,-7.080026499922591
晚上,-2.3698747604661956,-1.9296292634511758
逛逛,-4.249603002640208,-4.7286512427591125
吃,-1.4928994830752451,-1.6289880463568898
小吃,-3.209417680563667,-4.059601613778228
看看,-10.389487554866463,-7.773173680482536
夜景,-5.378852260770207,-5.8272635314272225
当地,-10.389487554866463,-7.773173680482536
公交车,-4.131819966983825,-4.405877850496061
散,-6.112821435850408,-5.134116350867277
团,-3.4847367849046247,-2.960989325110118
坐,-3.109479301982275,-2.7692273745370763
出去,-10.389487554866463,-7.773173680482536
非常,-10.389487554866463,-7.773173680482536
方便,-10.389487554866463,-7.773173680482536
总的来说,-10.389487554866463,-7.773173680482536
玩,-1.2265533052875506,-1.4871755859736708
开心,-1.6823353795270597,-2.8315312578732312
希望,-3.110168719451843,-2.4308394285177246
对,-10.389487554866463,-7.773173680482536
帮助,-10.389487554866463,-7.773173680482536
